ds,y,price_mom_3m,price_accel,production_dev_pct,rainfall_dev_pct,harvest_window,lean_season,harvest_proximity_days
2025-02-01,13990.0,0.01653042688465023,-0.012943626310762069,0.17047688748028164,0.0,0,1,28
2025-03-01,13782.142857142857,0.006914546640574004,-0.021772097952735825,0.3881785306238767,0.0,1,0,122
2025-04-01,13929.166666666666,-0.0007771401243424902,0.011444843328972332,0.030602747717235968,0.0,1,0,91
2025-05-01,13600.0,-0.027877055039313814,0.004245586298661785,-0.40904685821276887,0.0,1,0,61
2025-06-01,14221.875,0.031905934179839335,0.01382016876133707,0.986873570162073,0.0,0,0,30
2025-07-01,14585.714285714286,0.04713473783171662,-0.021551663468154514,0.7220203536581405,0.0,1,0,243
2025-08-01,14703.125,0.08111213235294112,-0.0730624261825199,-0.29859985255034854,0.0,1,0,212
2025-09-01,14760.714285714286,0.03788806227830621,-0.03397125644864163,-0.32932775063692543,0.0,1,0,181
2025-10-01,14775.0,0.012977473065621803,-0.012009653080139238,-0.14139488882613732,0.0,0,1,151
2025-11-01,14950.0,0.016790648246546303,-0.004946316605260348,0.1884071443877656,0.0,0,1,120
2025-12-01,14400.0,-0.02443745463343816,-0.012351843025424691,0.2260106836070605,0.0,0,1,90
2026-01-01,14200.0,-0.03891708967851104,0.0250282007896222,1.4537557103372412,0.0,0,1,59
